id,value
5697,697
261897,897
222563,563
134154,154
427103,103
388230,230
328994,994
458777,777
243874,874
396089,89
291067,67
254790,790
176885,885
325777,777
164254,254
410118,118
292048,48
390449,449
339653,653
433356,356
126785,785
336157,157
55016,16
277931,931
164765,765
400358,358
298980,980
245887,887
179375,375
459260,260
245547,547
307877,877
99542,542
253348,348
460340,340
284585,585
135920,920
265861,861
179244,244
236495,495
158955,955
51174,174
374096,96
188970,970
264650,650
153234,234
453683,683
217086,86
162364,364
476233,233
316023,23
22251,251
60906,906
137268,268
332456,456
398248,248
270034,34
410631,631
372751,751
237495,495
62972,972
86611,611
7300,300
447089,89
205562,562
260892,892
365124,124
309276,276
84599,599
321693,693
13815,815
159445,445
224064,64
48091,91
354185,185
374942,942
164155,155
465518,518
156054,54
378805,805
147011,11
52910,910
91151,151
401524,524
469706,706
275440,440
320534,534
246323,323
107325,325
170353,353
240632,632
289371,371
431044,44
437703,703
143917,917
322076,76
224931,931
465742,742
274769,769
385672,672
255682,682
188340,340
16484,484
255573,573
334836,836
8389,389
348917,917
111703,703
223312,312
355368,368
417368,368
460909,909
292786,786
112858,858
91733,733
17197,197
200020,20
199882,882
41570,570
196999,999
374045,45
288637,637
199818,818
138586,586
465800,800
49653,653
423647,647
60799,799
198089,89
382923,923
68512,512
259197,197
430040,40
475188,188
327194,194
45816,816
358648,648
283316,316
471594,594
120252,252
380129,129
37248,248
364684,684
422279,279
209770,770
88761,761
170895,895
124943,943
26552,552
55170,170
83706,706
497729,729
302398,398
273136,136
105634,634
411047,47
480662,662
366533,533
246204,204
167402,402
343294,294
400492,492
423083,83
108979,979
320121,121
428788,788
47604,604
95066,66
257265,265
142175,175
171726,726
438603,603
478510,510
30453,453
499246,246
371605,605
289425,425
363347,347
339435,435
473247,247
131114,114
346930,930
50407,407
147860,860
168174,174
172205,205
342635,635
47412,412
232519,519
71331,331
391239,239
4564,564
399763,763
426522,522
437227,227
278775,775
99714,714
116585,585
198544,544
49750,750
325248,248
204166,166
392549,549
62802,802
199760,760
79689,689
176939,939
370366,366
341701,701
188629,629
132165,165
238352,352
58694,694
339106,106
435089,89
368229,229
313975,975
140026,26
226601,601
418750,750
436691,691
137911,911
60353,353
428255,255
468999,999
43131,131
396553,553
13389,389
85859,859
233870,870
478234,234
165641,641
283861,861
302302,302
154032,32
325172,172
441223,223
30065,65
455735,735
181703,703
126521,521
220160,160
441468,468
5410,410
315588,588
460357,357
170294,294
243539,539
358560,560
257454,454
237949,949
191809,809
234724,724
444858,858
86530,530
70734,734
412211,211
433893,893
325884,884
381180,180
484926,926
261042,42
377848,848
254200,200
134440,440
418303,303
207029,29
225189,189
366383,383
461312,312
476292,292
181481,481
121245,245
345039,39
253068,68
470613,613
276366,366
200572,572
446793,793
435687,687
380247,247
94528,528
318996,996
482554,554
247436,436
157533,533
294152,152
473917,917
245299,299
315756,756
417384,384
220872,872
388277,277
380854,854
321372,372
459269,269
243329,329
208774,774
210292,292
160218,218
420481,481
293194,194
40169,169
28726,726
455730,730
465921,921
187562,562
70228,228
137750,750
499209,209
489395,395
387895,895
262793,793
316374,374
343784,784
389369,369
232305,305
442982,982
60493,493
458838,838
386310,310
41229,229
224124,124
202445,445
231103,103
234938,938
412421,421
87405,405
141109,109
207964,964
184802,802
155615,615
214655,655
186209,209
158610,610
428807,807
15707,707
495390,390
201463,463
392464,464
57512,512
275839,839
79119,119
109019,19
13541,541
283238,238
371806,806
385618,618
16495,495
199371,371
450036,36
143603,603
17726,726
72601,601
455692,692
44719,719
247570,570
284737,737
69970,970
170920,920
186859,859
19394,394
41986,986
25328,328
489845,845
190384,384
30336,336
457835,835
492155,155
28731,731
